role,description,required_skills
Actors,"Play parts in stage, television, radio, video, or film productions, or other settings for entertainment, information, or instruction. Interpret serious or comic role by speech, gesture, and body movement to entertain or inform audience. May dance and sing.","Active Listening, Apple Final Cut Pro, Email software, Facebook, FileMaker Pro, Instagram, LinkedIn, Linux, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Motion capture software, Reading Comprehension, Social Perceptiveness, Speaking, TikTok, Twitter, Web browser software, Website development software, YouTube, Zoom"
Producers and Directors,"Produce or direct stage, television, radio, video, or film productions for entertainment, information, or instruction. Responsible for creative decisions, such as interpretation of script, choice of actors or guests, set design, sound, special effects, and choreography.","Active Listening, Adobe Acrobat, Adobe After Effects, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Asana, Atlassian Confluence, Atlassian JIRA, Canva, Cascading style sheets CSS, Coordination, Critical Thinking, Extensible markup language XML, Facebook, Google Analytics, Google Docs, Google Workspace software, Hypertext markup language HTML, JavaScript, Judgment and Decision Making, Management of Personnel Resources, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Teams, Monitoring, Reading Comprehension, Social Perceptiveness, Speaking, Systems Analysis, Time Management, Writing"
Media Programming Directors,"Direct and coordinate activities of personnel engaged in preparation of radio or television station program schedules and programs, such as sports or news.","Active Learning, Active Listening, Adobe Acrobat, Adobe Creative Cloud software, Adobe Photoshop, Apple Final Cut Pro, Applicant tracking software, Avid Technology iNEWS, Broadcast Electronics AudioVAULT FleX, Complex Problem Solving, Content management systems CMS, Coordination, Critical Thinking, Email software, Facebook, FileMaker Pro, Google Analytics, Hypertext markup language HTML, Judgment and Decision Making, Management of Personnel Resources, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SQL Server, Microsoft SharePoint, Microsoft Word, Monitoring, Music scheduling software, Negotiation, RCS GSelector, Reading Comprehension, Scheduling databases, Social Perceptiveness, Speaking, TikTok, Time Management, Twitter, Writing"
Talent Directors,"Audition and interview performers to select most appropriate talent for parts in stage, television, radio, or motion picture productions.","Active Listening, AgencyPro, Amazon Web Services AWS software, Appointment scheduling software, Blogging software, Critical Thinking, Database software, Email software, Judgment and Decision Making, Linux, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Windows, Microsoft Word, Oracle Java, Oracle JavaServer Pages JSP, Reading Comprehension, SAP software, Salesforce software, Social Perceptiveness, Speaking, UNIX, Video content editing software, Web browser software, Website development software"
Media Technical Directors/Managers,"Coordinate activities of technical departments, such as taping, editing, engineering, and maintenance, to produce radio or television programs.","Active Listening, Adobe After Effects, Adobe Audition, Adobe Experience Manager (AEM), Adobe Photoshop, Apple Final Cut Pro, Atlassian JIRA, Autodesk Maya, C, C++, Complex Problem Solving, Coordination, Critical Thinking, Facebook, Judgment and Decision Making, Linux, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SQL Server, Microsoft Word, Monitoring, Oracle Database, Perl, Python, Reading Comprehension, Salesforce software, Speaking, Structured query language SQL, Swift, Time Management, UNIX, UNIX Shell"
Athletes and Sports Competitors,Compete in athletic events.,"Active Listening, Adobe Photoshop, Coordination, Critical Thinking, Email software, Facebook, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, Motion analysis software, Oracle PeopleSoft, Speaking, Twitter, Web browser software, YouTube"
Coaches and Scouts,Instruct or coach groups or individuals in the fundamentals of sports for the primary purpose of competition. Demonstrate techniques and methods of participation. May evaluate athletes' strengths and weaknesses as possible recruits or to improve the athletes' technique to prepare them for competition. Those required to hold teaching certifications should be reported in the appropriate teaching category.,"Active Learning, Active Listening, Bloomz, C++, Complex Problem Solving, Coordination, Critical Thinking, Edmodo, Edpuzzle, Edulastic, Evernote, Facebook, Flipgrid, Google Classroom, Google Docs, Google Drive, Google Meet, Graphics creation software, GroupMe, Instructing, Judgment and Decision Making, Learning Strategies, Management of Personnel Resources, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Publisher, Microsoft Word, Monitoring, Motion analysis software, Nearpod, Negotiation, Online registration software, ParentSquare, Pear Deck, Persuasion, Reading Comprehension, Service Orientation, Social Perceptiveness, Speaking, Systems Analysis, Systems Evaluation, Time Management, Writing"
"Umpires, Referees, and Other Sports Officials","Officiate at competitive athletic or sporting events. Detect infractions of rules and decide penalties according to established regulations. Includes all sporting officials, referees, and competition judges.","Adobe Acrobat, Database software, Email software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Speaking, Video editing software, Web browser software"
Dancers,"Perform dances. May perform on stage, for broadcasting, or for video recording.","Adobe Photoshop, Apple Final Cut Pro, Choreography software, Facebook, LinkedIn, Microsoft Office software, Microsoft Outlook, Pinterest, Samba, Social media sites, Web browser software, YouTube"
Choreographers,Create new dance routines. Rehearse performance of routines. May direct and stage presentations.,"Active Listening, Chorel Technology Dance Designer, Coordination, Credo Interactive DanceForms, Email software, Facebook, Instructing, Learning Strategies, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, Monitoring, Reading Comprehension, Salesforce Visualforce, Salesforce software, Social Perceptiveness, Social media sites, Speaking, Web browser software, YouTube"
Music Directors and Composers,"Conduct, direct, plan, and lead instrumental or vocal performances by musical artists or groups, such as orchestras, bands, choirs, and glee clubs; or create original works of music.","Active Listening, Anvil Studio, Apple Final Cut Pro, Apple MainStage, Arobas Music Guitar Pro, Arpege Music Pizzicato, Audacity, Audio Chaos Soundscape Generator, Audiveris, Avid Pro Tools, Avid Technology Sibelius, Azemus FS, Basic Music Composer, Cakewalk SONAR, Canorus, ChordWizard Software Soundtrix Gold, Click MusicalKEYS, Critical Thinking, Curto Drum, D'accord Music Software iChords, Denemo, Desktop Piano and Drums, Judgment and Decision Making, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Reading Comprehension, Speaking"
Musicians and Singers,"Play one or more musical instruments or sing. May perform on stage, for broadcasting, or for sound or video recording.","Acoustica Mixcraft, Apple GarageBand, Appointment scheduling software, Audacity, Avid Technology Pro Tools, Avid Technology Sibelius, Blogging software, Cantovation Sing & See, Email software, Facebook, Financial tracking software, Instagram, MakeMusic Finale, Microsoft Excel, Microsoft Office software, Microsoft Word, SAP software, Snapchat, TUBA software, Twitter, Web browser software, YouTube, iZotope Ozone"
"Disc Jockeys, Except Radio","Play prerecorded music for live audiences at venues or events such as clubs, parties, or wedding receptions. May use techniques such as mixing, cutting, or sampling to manipulate recordings. May also perform as emcee (master of ceremonies).","Adobe Audition, Audion Laboratories VoxPro, Avid Technology Pro Tools, Microsoft Excel, Microsoft Office software, Microsoft Word"
"Entertainers and Performers, Sports and Related Workers, All Other","All entertainers and performers, sports and related workers not listed separately.",
Broadcast Announcers and Radio Disc Jockeys,"Speak or read from scripted materials, such as news reports or commercial messages, on radio, television, or other communications media. May play and queue music, announce artist or title of performance, identify station, or interview guests.","Active Listening, Adobe Audition, Audion Laboratories VoxPro, Avid Technology Pro Tools, Burli Software Burli Newsroom System, Critical Thinking, Dalet Digital Media Systems Dalet Media Life, Database software, Enterprise application integration EAI software, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Program logging software, Reading Comprehension, Social Perceptiveness, Speaking, Statistical processing software, Web browser software, Zoom"
